Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A011MGK8	unreviewed	Periplasmic heavy metal sensor	1454001	Candidatus Accumulibacter adjunctus	180	PF13801	10..141
A0A011MM17	unreviewed	P pilus assembly/Cpx signaling pathway, periplasmic inhibitor/zinc-resistance associated protein	1454000	Candidatus Accumulibacter sp. SK-11	169	PF13801	13..139
A0A011PHG3	unreviewed	Periplasmic protein	522306	Accumulibacter regalis	162	PF13801	17..139
A0A011TFI9	unreviewed	Spy/CpxP family protein refolding chaperone	69279	Aquamicrobium defluvii	176	PF13801	32..161
A0A011U8B0	unreviewed	Spy/CpxP family protein refolding chaperone	69279	Aquamicrobium defluvii	174	PF13801	31..160
A0A011ULJ2	unreviewed	Membrane protein	69279	Aquamicrobium defluvii	175	PF13801	31..161
A0A013VCD7	unreviewed	Heavy metal resistance protein	1461752	Sphingobium sp. Ant17	146	PF13801	12..131
A0A013VJC1	unreviewed	Heavy metal resistance protein	1461752	Sphingobium sp. Ant17	145	PF13801	11..130
A0A013WWI2	unreviewed	Heavy metal resistance protein	1461752	Sphingobium sp. Ant17	146	PF13801	13..130
A0A013XW59	unreviewed	Heavy metal resistance protein	1461752	Sphingobium sp. Ant17	147	PF13801	14..132
A0A017HMF4	unreviewed	Periplasmic heavy metal sensor	442562	Rubellimicrobium mesophilum DSM 19309	144	PF13801	5..128
A0A023D224	unreviewed	Periplasmic heavy metal sensor	1231351	Acidomonas methanolica NBRC 104435	150	PF13801	17..138
A0A023D9N0	unreviewed	Periplasmic heavy metal sensor	1231351	Acidomonas methanolica NBRC 104435	147	PF13801	13..133
A0A023WS43	unreviewed	Signaling pathway modulator ZraP	316	Stutzerimonas stutzeri	137	PF13801	5..89
A0A024L9R9	unreviewed	Zinc resistance-associated protein	562	Escherichia coli	141	PF13801	8..120
A0A031JPB6	unreviewed	Heavy metal resistance protein	158500	Novosphingobium resinovorum	146	PF13801	10..129
A0A031JX28	unreviewed	Heavy metal resistance protein	158500	Novosphingobium resinovorum	146	PF13801	11..131
A0A058ZJX8	unreviewed	Integral membrane protein	1461693	Actibacterium atlanticum	176	PF13801	24..146
A0A059DMG3	unreviewed	Zinc resistance-associated protein	1280944	Hyphomonas sp. CY54-11-8	179	PF13801	17..137
A0A059DNZ7	unreviewed	Heavy metal resistance protein	1280944	Hyphomonas sp. CY54-11-8	144	PF13801	9..130
A0A059E261	unreviewed	Heavy metal resistance protein	1280948	Hyphomonas atlantica	144	PF13801	12..129
A0A059E618	unreviewed	Periplasmic heavy metal sensor	1280948	Hyphomonas atlantica	162	PF13801	18..137
A0A059EFC1	unreviewed	Zinc resistance-associated protein	1207058	Hyphomonas sp. L-53-1-40	161	PF13801	18..137
A0A059FG69	unreviewed	Integral membrane protein	1280952	Hyphomonas jannaschiana VP2	177	PF13801	17..137
A0A059FIC7	unreviewed	Heavy metal resistance protein	1280952	Hyphomonas jannaschiana VP2	144	PF13801	9..130
A0A059FTK4	unreviewed	Zinc resistance-associated protein	1280950	Hyphomonas johnsonii MHS-2	166	PF13801	16..138
A0A059FZ39	unreviewed	Periplasmic heavy metal sensor	1280951	Hyphomonas hirschiana VP5	173	PF13801	15..139
A0A059G0T6	unreviewed	Heavy metal resistance protein	1280953	Hyphomonas oceanitis SCH89	144	PF13801	11..130
A0A059G7W4	unreviewed	Periplasmic heavy metal sensor	1280953	Hyphomonas oceanitis SCH89	174	PF13801	16..138
A0A059X057	unreviewed	Heavy-metal resistance	77133	uncultured bacterium	141	PF13801	25..90
A0A060E0H3	unreviewed	Uncharacterized protein	2970906	Azospirillum argentinense	155	PF13801	21..146
A0A060QEP9	unreviewed	Periplasmic heavy metal sensor	91915	Asaia bogorensis	179	PF13801	29..140
A0A061QGG3	unreviewed	Putative integral membrane protein	1492281	alpha proteobacterium Q-1	181	PF13801	22..150
A0A061SSW3	unreviewed	RNA polymerase sigma-70 factor	83219	Sulfitobacter mediterraneus	169	PF13801	20..146
A0A062U0E8	unreviewed	Zinc resistance-associated protein	1280941	Hyphomonas pacifica	153	PF13801	18..136
A0A062U4B4	unreviewed	Periplasmic heavy metal sensor	1280946	Hyphomonas beringensis	153	PF13801	18..136
A0A062UGB5	unreviewed	Heavy metal resistance protein	1280947	Hyphomonas chukchiensis	144	PF13801	10..130
A0A062UIV5	unreviewed	Periplasmic heavy metal sensor	1280947	Hyphomonas chukchiensis	175	PF13801	16..138
A0A062V556	unreviewed	Heavy metal resistance protein	1280954	Hyphomonas polymorpha PS728	147	PF13801	12..132
A0A062VHF6	unreviewed	Periplasmic heavy metal sensor	1280954	Hyphomonas polymorpha PS728	175	PF13801	15..139
A0A062XVP7	unreviewed	Periplasmic heavy metal sensor	1312852	Thermoanaerobaculum aquaticum	237	PF13801	83..205
A0A062XY86	unreviewed	Periplasmic heavy metal sensor	1312852	Thermoanaerobaculum aquaticum	140	PF13801	24..115
A0A063B4H3	unreviewed	Heavy-metal resistance protein	1192124	Burkholderia sp. lig30	182	PF13801	19..142
A0A066PQ33	unreviewed	Integral membrane protein	1464546	Acidiphilium sp. JA12-A1	178	PF13801	12..137
A0A067Z1M9	unreviewed	Periplasmic heavy metal sensor	1288313	Gluconobacter oxydans DSM 3504	176	PF13801	14..145
A0A068T4A2	unreviewed	Putative integral membrane protein	1028800	Neorhizobium galegae bv. orientalis str. HAMBI 540	149	PF13801	13..133
A0A068TIQ2	unreviewed	Periplasmic heavy metal sensor	1028801	Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141	136	PF13801	17..126
A0A068TKU0	unreviewed	Putative integral membrane protein	1028801	Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141	149	PF13801	13..133
A0A069E741	unreviewed	Integral membrane protein	1280949	Hyphomonas adhaerens MHS-3	175	PF13801	14..134
A0A069IMY2	unreviewed	Periplasmic heavy metal sensor	1495854	Brevundimonas sp. EAKA	177	PF13801	12..138
A0A069IWA5	unreviewed	Heavy metal resistance protein	1495854	Brevundimonas sp. EAKA	146	PF13801	14..130
A0A069PVI7	unreviewed	Periplasmic heavy metal sensor	60547	Caballeronia glathei	195	PF13801	38..151
A0A071M2M6	unreviewed	Periplasmic heavy metal sensor	95486	Burkholderia cenocepacia	167	PF13801	12..139
A0A071MWN9	unreviewed	Periplasmic heavy metal sensor	95486	Burkholderia cenocepacia	183	PF13801	13..144
A0A073IW85	unreviewed	Periplasmic heavy metal sensor	1300350	Sulfitobacter donghicola DSW-25 = KCTC 12864 = JCM 14565	154	PF13801	17..132
A0A073J8Z4	unreviewed	Heavy-metal resistance	1402135	Pseudosulfitobacter pseudonitzschiae	167	PF13801	22..145
A0A074J5W9	unreviewed	Periplasmic heavy metal sensor	1353537	Thioclava pacifica DSM 10166	167	PF13801	18..140
A0A074JWP4	unreviewed	Periplasmic heavy metal sensor	1353528	Thioclava indica	176	PF13801	18..140
A0A074MAR7	unreviewed	Heavy metal resistance protein	1044	Erythrobacter longus	144	PF13801	11..126
A0A074TDL0	unreviewed	Periplasmic heavy metal sensor	1185766	Thioclava dalianensis	168	PF13801	18..140
A0A078BMU4	unreviewed	Uncharacterized protein	554131	Thiomonas sp. CB2	190	PF13801	25..163
A0A078M2R3	unreviewed	Signaling pathway modulator ZraP	1461581	Pseudomonas saudimassiliensis	124	PF13801	10..85
A0A078MFS3	unreviewed	Signaling pathway modulator ZraP	1461581	Pseudomonas saudimassiliensis	151	PF13801	13..130
A0A080MGA8	unreviewed	P pilus assembly/Cpx signaling pathway, periplasmic inhibitor/zinc-resistance associated protein	2954383	Candidatus Accumulibacter cognatus	174	PF13801	14..141
A0A081BAW4	unreviewed	Conserved protein	1333998	Tepidicaulis marinus	193	PF13801	22..152
A0A081BM98	unreviewed	P pilus assembly/Cpx signaling pathway	1499966	Candidatus Moduliflexus flocculans	269	PF13801	153..239
A0A081RHN1	unreviewed	Heavy metal resistance protein	46429	Sphingobium chlorophenolicum	147	PF13801	12..132
A0A083ZYR4	unreviewed	Zinc resistance-associated protein	1410619	Serratia sp. DD3	159	PF13801	16..131
A0A084DCT9	unreviewed	Periplasmic heavy metal sensor	1506588	Burkholderia sp. MSh2	183	PF13801	16..144
A0A084DM69	unreviewed	Periplasmic heavy metal sensor	1506588	Burkholderia sp. MSh2	167	PF13801	12..139
A0A084EB47	unreviewed	Heavy metal resistance protein	13690	Sphingobium yanoikuyae	145	PF13801	8..129
A0A084EEV2	unreviewed	Heavy metal resistance protein	13690	Sphingobium yanoikuyae	227	PF13801	92..212
A0A084EHI7	unreviewed	Heavy metal resistance protein	13690	Sphingobium yanoikuyae	144	PF13801	10..128
A0A084INA2	unreviewed	Signaling pathway modulator ZraP	1304275	Salinisphaera hydrothermalis (strain C41B8)	231	PF13801	96..213
A0A084SNC7	unreviewed	Periplasmic heavy metal sensor	1406225	Archangium violaceum Cb vi76	164	PF13801	6..130
A0A084Y501	unreviewed	Periplasmic heavy metal sensor	2954382	Candidatus Accumulibacter vicinus	174	PF13801	13..141
A0A084Y6L9	unreviewed	Periplasmic heavy metal sensor	327160	Candidatus Accumulibacter phosphatis	177	PF13801	10..141
A0A084ZT16	unreviewed	Zinc resistance-associated protein	1005994	Trabulsiella guamensis ATCC 49490	146	PF13801	22..120
A0A085K0K5	unreviewed	Periplasmic heavy metal sensor	13690	Sphingobium yanoikuyae	146	PF13801	11..131
A0A085K5X7	unreviewed	Periplasmic heavy metal sensor	13690	Sphingobium yanoikuyae	144	PF13801	10..128
A0A085U111	unreviewed	Periplasmic heavy metal sensor	1317124	Thioclava atlantica	167	PF13801	18..141
A0A085WXG9	unreviewed	Periplasmic heavy metal sensor	394096	Hyalangium minutum	168	PF13801	11..134
A0A086PDL0	unreviewed	Heavy metal resistance protein	1219045	Sphingobium herbicidovorans (strain ATCC 700291 / DSM 11019 / CCUG 56400 / KCTC 2939 / LMG 18315 / NBRC 16415 / MH)	146	PF13801	11..131
A0A086PFE0	unreviewed	Heavy metal resistance protein	1219045	Sphingobium herbicidovorans (strain ATCC 700291 / DSM 11019 / CCUG 56400 / KCTC 2939 / LMG 18315 / NBRC 16415 / MH)	146	PF13801	12..131
A0A086Y1I8	unreviewed	Periplasmic heavy metal sensor	1105367	Paenirhodobacter enshiensis	170	PF13801	21..143
A0A086YBW6	unreviewed	Uncharacterized protein	195105	Haematobacter massiliensis	156	PF13801	18..136
A0A087FCB6	unreviewed	Signaling pathway modulator ZraP	633150	Pseudomonas sp. 1-7	137	PF13801	7..92
A0A087KXP1	unreviewed	Zinc resistance-associated protein	1524467	Serratia sp. Ag1	147	PF13801	11..127
A0A087NCJ8	unreviewed	Heavy metal resistance protein	1522072	Sphingobium sp. ba1	147	PF13801	12..132
A0A087ND99	unreviewed	Heavy metal resistance protein	1522072	Sphingobium sp. ba1	145	PF13801	11..130
A0A087NHN8	unreviewed	Heavy metal resistance protein	1522072	Sphingobium sp. ba1	76	PF13801	3..61
A0A090AE07	unreviewed	Signaling pathway modulator ZraP	40754	Thioploca ingrica	161	PF13801	16..140
A0A090DRV6	unreviewed	Periplasmic heavy metal sensor	69974	Mesorhizobium plurifarium	147	PF13801	8..125
A0A090EEB6	unreviewed	Periplasmic heavy metal sensor	408180	Mesorhizobium sp. ORS 3324	148	PF13801	8..125
A0A090F5B7	unreviewed	Periplasmic heavy metal sensor	408184	Mesorhizobium sp. ORS 3359	134	PF13801	17..124
A0A090F5H1	unreviewed	Periplasmic heavy metal sensor	69974	Mesorhizobium plurifarium	147	PF13801	8..125
A0A090F854	unreviewed	Periplasmic heavy metal sensor	1505946	Mesorhizobium sp. SOD10	147	PF13801	8..126
A0A090FNT7	unreviewed	Periplasmic heavy metal sensor	408184	Mesorhizobium sp. ORS 3359	147	PF13801	8..126
A0A090GSP7	unreviewed	Periplasmic heavy metal sensor	69974	Mesorhizobium plurifarium	147	PF13801	8..125
A0A090KGV8	unreviewed	Uncultured bacterium genome assembly Metasoil_fosmids_resub	77133	uncultured bacterium	148	PF13801	7..130
A0A090KNB8	unreviewed	Uncultured bacterium genome assembly Metasoil_fosmids_resub	77133	uncultured bacterium	140	PF13801	27..95
A0A090KPL2	unreviewed	Uncultured bacterium genome assembly Metasoil_fosmids_resub	77133	uncultured bacterium	149	PF13801	14..132
A0A090NII8	unreviewed	Zinc resistance-associated protein	1401327	Shigella dysenteriae WRSd3	186	PF13801	55..167
A0A091B5L5	unreviewed	Periplasmic heavy metal sensor	1537917	Sulfuricurvum sp. MLSB	127	PF13801	19..115
A0A091FA94	unreviewed	Periplasmic heavy metal sensor	1499107	Smithella sp. SCADC	165	PF13801	11..132
A0A094KI68	unreviewed	Periplasmic heavy metal sensor	1538639	Smithella sp. D17	194	PF13801	48..158
